序号 (Index),英文单词 (Word),中文翻译 (Translation),词汇全称 (Formatted),出现频次 (Frequency),平均游客星级 (Star Rating),固有 VADER 极性 (Intrinsic Polarity),Plutchik 情绪分类 (Category)
1,friendly,友好的/热情的,friendly (友好的/热情的),3271,4.942,0.55,JOY
2,professional,专业严谨的,professional (专业严谨的),2056,4.95,0.0,TRUST
3,lucky,情绪与感知词汇,lucky (情绪与感知词汇),593,4.933,0.45,JOY
4,start,情绪与感知词汇,start (情绪与感知词汇),490,4.867,0.0,ANTICIPATION
5,excellent,优异卓越的,excellent (优异卓越的),2475,4.956,0.675,JOY
6,recommend,情绪与感知词汇,recommend (情绪与感知词汇),5998,4.945,0.375,TRUST
7,fun,情绪与感知词汇,fun (情绪与感知词汇),1802,4.951,0.575,JOY
8,facts,情绪与感知词汇,facts (情绪与感知词汇),317,4.909,0.0,TRUST
9,worth,值得/划算,worth (值得/划算),3011,4.92,0.225,CATE
10,spectacular,壮观震撼的,spectacular (壮观震撼的),1798,4.956,0.0,ANTICIPATION
11,communication,情绪与感知词汇,communication (情绪与感知词汇),176,4.665,0.0,TRUST
12,journey,情绪与感知词汇,journey (情绪与感知词汇),166,4.904,0.0,JOY
13,leave,情绪与感知词汇,leave (情绪与感知词汇),191,4.634,-0.05,SADNESS
14,disappointed,情绪与感知词汇,disappointed (情绪与感知词汇),495,4.444,-0.525,SADNESS
15,delight,情绪与感知词汇,delight (情绪与感知词汇),52,5.0,0.725,JOY
16,flying,情绪与感知词汇,flying (情绪与感知词汇),2740,4.911,0.0,FEAR
17,signature,情绪与感知词汇,signature (情绪与感知词汇),18,4.778,0.0,TRUST
18,interesting,有趣的/引人入胜的,interesting (有趣的/引人入胜的),859,4.916,0.425,CATE
19,desert,情绪与感知词汇,desert (情绪与感知词汇),38,4.737,0.0,SADNESS
20,magnificence,情绪与感知词汇,magnificence (情绪与感知词汇),26,4.962,0.6,JOY
21,justice,情绪与感知词汇,justice (情绪与感知词汇),114,4.982,0.6,TRUST
22,helpful,大有帮助的/热心的,helpful (大有帮助的/热心的),1115,4.948,0.45,JOY
23,convenient,方便快捷的,convenient (方便快捷的),61,4.705,0.0,CATE
24,safe,安全有保障的,safe (安全有保障的),1601,4.929,0.475,JOY
25,perfect,完美的/十全十美的,perfect (完美的/十全十美的),1464,4.961,0.675,JOY
26,patient,耐心周到的,patient (耐心周到的),146,4.938,0.0,ANTICIPATION
27,top,情绪与感知词汇,top (情绪与感知词汇),1000,4.91,0.2,TRUST
28,young,情绪与感知词汇,young (情绪与感知词汇),254,4.827,0.0,JOY
29,smiling,情绪与感知词汇,smiling (情绪与感知词汇),34,5.0,0.5,JOY
30,skilled,操控熟练的/专业的,skilled (操控熟练的/专业的),240,4.954,0.0,CATE
31,kudos,情绪与感知词汇,kudos (情绪与感知词汇),30,5.0,0.575,JOY
32,cherish,情绪与感知词汇,cherish (情绪与感知词汇),54,5.0,0.4,JOY
33,ready,情绪与感知词汇,ready (情绪与感知词汇),170,4.629,0.375,ANTICIPATION
34,beauty,情绪与感知词汇,beauty (情绪与感知词汇),891,4.975,0.7,JOY
35,sense,心理感知/安全感,sense (心理感知/安全感),206,4.913,0.0,CATE
36,experienced,经验丰富的,experienced (经验丰富的),865,4.94,0.0,TRUST
37,terrific,情绪与感知词汇,terrific (情绪与感知词汇),278,4.964,0.525,SADNESS
38,lovely,情绪与感知词汇,lovely (情绪与感知词汇),268,4.899,0.7,JOY
39,noise,噪音/降噪耳机,noise (噪音/降噪耳机),166,4.873,0.0,CATE
40,music,情绪与感知词汇,music (情绪与感知词汇),366,4.814,0.0,JOY
41,adventure,情绪与感知词汇,adventure (情绪与感知词汇),1255,4.947,0.325,ANTICIPATION
42,delightful,情绪与感知词汇,delightful (情绪与感知词汇),88,4.966,0.7,JOY
43,bonus,情绪与感知词汇,bonus (情绪与感知词汇),141,4.957,0.625,JOY
44,opportunity,情绪与感知词汇,opportunity (情绪与感知词汇),533,4.874,0.45,ANTICIPATION
45,extra,额外的/附加体验,extra (额外的/附加体验),533,4.88,0.0,CATE
46,pretty,情绪与感知词汇,pretty (情绪与感知词汇),390,4.71,0.55,JOY
47,friendliness,情绪与感知词汇,friendliness (情绪与感知词汇),45,4.978,0.5,JOY
48,beautiful,情绪与感知词汇,beautiful (情绪与感知词汇),3511,4.922,0.725,JOY
49,strongly,强烈推荐,strongly (强烈推荐),128,4.891,0.275,CATE
50,outstanding,卓越杰出的,outstanding (卓越杰出的),567,4.965,0.75,JOY
51,gift,情绪与感知词汇,gift (情绪与感知词汇),255,4.851,0.475,JOY
52,turbulence,情绪与感知词汇,turbulence (情绪与感知词汇),234,4.88,0.0,FEAR
53,small,小型的/紧凑的,small (小型的/紧凑的),1481,4.865,0.0,CATE
54,fall,情绪与感知词汇,fall (情绪与感知词汇),58,4.828,0.0,SADNESS
55,expectation,情绪与感知词汇,expectation (情绪与感知词汇),27,4.63,0.0,ANTICIPATION
56,expert,情绪与感知词汇,expert (情绪与感知词汇),111,4.991,0.0,TRUST
57,guidance,情绪与感知词汇,guidance (情绪与感知词汇),19,5.0,0.0,TRUST
58,ease,轻松/平稳自如,ease (轻松/平稳自如),419,4.979,0.375,CATE
59,glad,情绪与感知词汇,glad (情绪与感知词汇),877,4.926,0.5,JOY
60,nervous,紧张不安的,nervous (紧张不安的),488,4.922,-0.275,ANTICIPATION
61,wonderful,极其美妙的,wonderful (极其美妙的),2815,4.952,0.675,JOY
62,wait,情绪与感知词汇,wait (情绪与感知词汇),470,4.662,0.0,ANTICIPATION
63,hit,情绪与感知词汇,hit (情绪与感知词汇),70,4.857,0.0,ANGER
64,good,情绪与感知词汇,good (情绪与感知词汇),2327,4.792,0.475,JOY
65,chilly,情绪与感知词汇,chilly (情绪与感知词汇),19,4.842,0.0,CATE
66,culture,文化与历史解说,culture (文化与历史解说),57,5.0,0.0,CATE
67,special,情绪与感知词汇,special (情绪与感知词汇),596,4.945,0.425,JOY
68,joy,愉悦喜悦,joy (愉悦喜悦),68,4.853,0.7,JOY
69,buck,情绪与感知词汇,buck (情绪与感知词汇),42,4.786,0.0,SURPRISE
70,wild,情绪与感知词汇,wild (情绪与感知词汇),77,4.935,0.0,SURPRISE
71,departed,情绪与感知词汇,departed (情绪与感知词汇),35,4.657,0.0,SADNESS
72,avoid,情绪与感知词汇,avoid (情绪与感知词汇),81,4.383,-0.3,FEAR
73,arrival,情绪与感知词汇,arrival (情绪与感知词汇),158,4.741,0.0,ANTICIPATION
74,gorgeous,情绪与感知词汇,gorgeous (情绪与感知词汇),447,4.928,0.75,JOY
75,kind,情绪与感知词汇,kind (情绪与感知词汇),589,4.844,0.6,JOY
76,long,情绪与感知词汇,long (情绪与感知词汇),583,4.775,0.0,ANTICIPATION
77,memorable,情绪与感知词汇,memorable (情绪与感知词汇),624,4.966,0.0,JOY
78,picnic,情绪与感知词汇,picnic (情绪与感知词汇),30,4.667,0.0,JOY
79,competent,情绪与感知词汇,competent (情绪与感知词汇),165,4.939,0.325,TRUST
80,cool,酷炫的/棒的,cool (酷炫的/棒的),636,4.901,0.325,CATE
81,enjoy,情绪与感知词汇,enjoy (情绪与感知词汇),560,4.85,0.55,JOY
82,related,情绪与感知词汇,related (情绪与感知词汇),42,4.905,0.0,TRUST
83,fear,恐惧/对飞行的害怕,fear (恐惧/对飞行的害怕),118,4.958,-0.55,FEAR
84,gate,情绪与感知词汇,gate (情绪与感知词汇),192,4.87,0.0,TRUST
85,calm,平静镇定的/从容的,calm (平静镇定的/从容的),252,4.952,0.325,CATE
86,found,情绪与感知词汇,found (情绪与感知词汇),465,4.83,0.0,JOY
87,impossible,情绪与感知词汇,impossible (情绪与感知词汇),66,4.485,0.0,SADNESS
88,thankful,情绪与感知词汇,thankful (情绪与感知词汇),60,4.983,0.675,JOY
89,happy,情绪与感知词汇,happy (情绪与感知词汇),534,4.882,0.675,JOY
90,soothing,情绪与感知词汇,soothing (情绪与感知词汇),18,4.889,0.325,JOY
91,terrible,可怕的/极度不满的,terrible (可怕的/极度不满的),50,3.16,-0.525,SADNESS
92,assured,情绪与感知词汇,assured (情绪与感知词汇),77,4.571,0.375,TRUST
93,expertise,情绪与感知词汇,expertise (情绪与感知词汇),62,4.968,0.0,TRUST
94,kindness,情绪与感知词汇,kindness (情绪与感知词汇),37,4.892,0.5,CATE
95,row,情绪与感知词汇,row (情绪与感知词汇),114,4.579,0.0,ANGER
96,feeling,情绪与感知词汇,feeling (情绪与感知词汇),209,4.813,0.125,JOY
97,arrive,情绪与感知词汇,arrive (情绪与感知词汇),92,4.489,0.0,ANTICIPATION
98,priceless,无价的/珍贵的,priceless (无价的/珍贵的),85,5.0,0.0,CATE
99,unique,情绪与感知词汇,unique (情绪与感知词汇),459,4.948,0.0,SURPRISE
100,peaceful,情绪与感知词汇,peaceful (情绪与感知词汇),74,4.973,0.55,JOY
101,limited,情绪与感知词汇,limited (情绪与感知词汇),139,4.561,-0.225,SADNESS
102,larger,情绪与感知词汇,larger (情绪与感知词汇),96,4.812,0.0,TRUST
103,bottom,情绪与感知词汇,bottom (情绪与感知词汇),107,4.822,0.0,SADNESS
104,happen,情绪与感知词汇,happen (情绪与感知词汇),122,4.5,0.0,ANTICIPATION
105,coming,情绪与感知词汇,coming (情绪与感知词汇),251,4.805,0.0,ANTICIPATION
106,broke,情绪与感知词汇,broke (情绪与感知词汇),28,4.75,-0.45,SADNESS
107,love,情绪与感知词汇,love (情绪与感知词汇),457,4.947,0.8,JOY
108,fault,情绪与感知词汇,fault (情绪与感知词汇),78,4.41,-0.425,SADNESS
109,machine,情绪与感知词汇,machine (情绪与感知词汇),19,4.579,0.0,TRUST
110,ultimate,情绪与感知词汇,ultimate (情绪与感知词汇),50,4.94,0.0,SADNESS
111,john,情绪与感知词汇,john (情绪与感知词汇),96,4.917,0.0,DISGUST
112,bad,差劲的,bad (差劲的),356,4.379,-0.625,SADNESS
113,late,情绪与感知词汇,late (情绪与感知词汇),267,4.449,0.0,SADNESS
114,honest,情绪与感知词汇,honest (情绪与感知词汇),86,4.581,0.575,JOY
115,hate,情绪与感知词汇,hate (情绪与感知词汇),28,4.607,-0.675,SADNESS
116,possibility,情绪与感知词汇,possibility (情绪与感知词汇),40,4.325,0.0,ANTICIPATION
117,surprised,情绪与感知词汇,surprised (情绪与感知词汇),196,4.862,0.225,SURPRISE
118,county,情绪与感知词汇,county (情绪与感知词汇),44,4.909,0.0,TRUST
119,law,情绪与感知词汇,law (情绪与感知词汇),53,4.83,0.0,TRUST
120,provide,情绪与感知词汇,provide (情绪与感知词汇),242,4.723,0.0,TRUST
121,awful,极糟糕的,awful (极糟糕的),15,2.2,-0.5,SADNESS
122,risk,情绪与感知词汇,risk (情绪与感知词汇),38,4.5,-0.275,ANTICIPATION
123,thought,情绪与感知词汇,thought (情绪与感知词汇),519,4.728,0.0,ANTICIPATION
124,overpriced,价格虚高/偏贵的,overpriced (价格虚高/偏贵的),18,3.667,0.0,SADNESS
125,share,情绪与感知词汇,share (情绪与感知词汇),193,4.922,0.3,JOY
126,fortunate,幸运的/有幸体验的,fortunate (幸运的/有幸体验的),233,4.957,0.475,CATE
127,level,情绪与感知词汇,level (情绪与感知词汇),153,4.83,0.0,TRUST
128,blast,情绪与感知词汇,blast (情绪与感知词汇),185,4.968,0.0,SURPRISE
129,planning,情绪与感知词汇,planning (情绪与感知词汇),168,4.881,0.0,TRUST
130,personable,平易近人的/亲切的,personable (平易近人的/亲切的),418,4.969,0.0,CATE
131,absolute,绝对的/完美的,absolute (绝对的/完美的),263,4.935,0.0,CATE
132,hurry,情绪与感知词汇,hurry (情绪与感知词汇),15,3.867,0.0,ANTICIPATION
133,base,情绪与感知词汇,base (情绪与感知词汇),368,4.88,0.0,TRUST
134,clean,情绪与感知词汇,clean (情绪与感知词汇),237,4.899,0.425,JOY
135,quiet,情绪与感知词汇,quiet (情绪与感知词汇),161,4.913,0.0,SADNESS
136,hope,情绪与感知词汇,hope (情绪与感知词汇),162,4.741,0.475,JOY
137,timely,及时高效的,timely (及时高效的),29,4.793,0.0,CATE
138,rob,情绪与感知词汇,rob (情绪与感知词汇),16,5.0,-0.65,SADNESS
139,passenger,情绪与感知词汇,passenger (情绪与感知词汇),353,4.824,0.0,ANTICIPATION
140,friend,情绪与感知词汇,friend (情绪与感知词汇),241,4.938,0.55,JOY
141,worry,情绪与感知词汇,worry (情绪与感知词汇),105,4.943,-0.475,SADNESS
142,confident,情绪与感知词汇,confident (情绪与感知词汇),110,4.945,0.55,JOY
143,highest,情绪与感知词汇,highest (情绪与感知词汇),81,4.889,0.0,JOY
144,expect,情绪与感知词汇,expect (情绪与感知词汇),204,4.77,0.0,TRUST
145,delayed,顺延/因天气延迟,delayed (顺延/因天气延迟),74,4.446,-0.225,CATE
146,expected,情绪与感知词汇,expected (情绪与感知词汇),282,4.752,0.0,ANTICIPATION
147,gem,情绪与感知词汇,gem (情绪与感知词汇),23,4.957,0.0,JOY
148,cold,高空微凉/客舱气温,cold (高空微凉/客舱气温),170,4.847,0.0,CATE
149,major,核心亮点/主要看点,major (核心亮点/主要看点),120,4.85,0.0,CATE
150,fearful,情绪与感知词汇,fearful (情绪与感知词汇),22,4.818,-0.55,SADNESS
151,sick,情绪与感知词汇,sick (情绪与感知词汇),240,4.758,-0.575,SADNESS
152,sweet,情绪与感知词汇,sweet (情绪与感知词汇),99,4.919,0.5,JOY
153,delay,航班延迟/耽误的,delay (航班延迟/耽误的),58,3.983,-0.325,SADNESS
154,wont,情绪与感知词汇,wont (情绪与感知词汇),33,4.758,0.0,ANTICIPATION
155,afraid,担忧害怕的,afraid (担忧害怕的),144,4.972,0.0,FEAR
156,personal,情绪与感知词汇,personal (情绪与感知词汇),544,4.934,0.0,TRUST
157,older,情绪与感知词汇,older (情绪与感知词汇),47,4.766,0.0,SADNESS
158,surprise,惊喜惊奇,surprise (惊喜惊奇),196,4.867,0.275,JOY
159,hearing,情绪与感知词汇,hearing (情绪与感知词汇),54,4.759,0.0,FEAR
160,treat,情绪与感知词汇,treat (情绪与感知词汇),205,4.878,0.425,JOY
161,real,情绪与感知词汇,real (情绪与感知词汇),266,4.865,0.0,TRUST
162,true,情绪与感知词汇,true (情绪与感知词汇),248,4.903,0.45,JOY
163,superb,极好的/卓越的,superb (极好的/卓越的),225,4.947,0.775,CATE
164,treasure,情绪与感知词汇,treasure (情绪与感知词汇),54,5.0,0.3,JOY
165,pleased,情绪与感知词汇,pleased (情绪与感知词汇),132,4.924,0.475,JOY
166,completely,完全地/彻底地,completely (完全地/彻底地),326,4.752,0.0,CATE
167,unsafe,情绪与感知词汇,unsafe (情绪与感知词汇),35,4.657,0.0,FEAR
168,fixed,情绪与感知词汇,fixed (情绪与感知词汇),196,4.847,0.0,TRUST
169,ill,情绪与感知词汇,ill (情绪与感知词汇),23,4.217,-0.45,SADNESS
170,turbulent,情绪与感知词汇,turbulent (情绪与感知词汇),31,4.645,0.0,FEAR
171,majority,情绪与感知词汇,majority (情绪与感知词汇),31,4.323,0.0,JOY
172,confirmed,情绪与感知词汇,confirmed (情绪与感知词汇),35,3.971,0.0,TRUST
173,unable,情绪与感知词汇,unable (情绪与感知词汇),112,4.464,0.0,SADNESS
174,skeptical,情绪与感知词汇,skeptical (情绪与感知词汇),22,4.818,-0.325,CATE
175,disappointing,令人失望的,disappointing (令人失望的),75,2.813,-0.55,SADNESS
176,worse,更糟糕的,worse (更糟糕的),31,3.71,-0.525,SADNESS
177,shoulder,情绪与感知词汇,shoulder (情绪与感知词汇),16,4.562,0.0,TRUST
178,finally,情绪与感知词汇,finally (情绪与感知词汇),210,4.471,0.0,JOY
179,constant,情绪与感知词汇,constant (情绪与感知词汇),41,4.512,0.0,TRUST
180,effort,用心安排/商家付出,effort (用心安排/商家付出),85,4.694,0.0,CATE
181,sunset,情绪与感知词汇,sunset (情绪与感知词汇),268,4.873,0.0,ANTICIPATION
