word,chinese_translation,affect_type,stage_origin,frequency_2500,review_count_2500,example_context
great,非常棒的 / 极好的,E2_Appraisal (Stimulus/Service Attribute),Stage 1 (500 Discovery),1272,942,"review_58ba87f9326f017e0b3399ae :: I hate to write a review in the midst of COVID for a small business, but unfortunately due to our experience I’m writing this in hopes that nobody else has the same experience. We ..."
amazing,极其震撼赞叹的 / 太棒了,E2_Appraisal (Stimulus/Service Attribute),Stage 1 (500 Discovery),689,586,"review_856d2aa6a78e7be940af3eac :: This was a once in a lifetime, amazing, beautiful experience. 

- the flight out of Scottsdale through the river valleys is beautiful.
- you get to see both north and south side of..."
friendly,友好的 / 亲切的,E1_E2_Candidate,Stage 1 (500 Discovery),373,355,review_3ba1137cb1b4e9207840a231 :: We found a really nice fishing experiance in Talkeetna.Starting with Molly the office manager to the pilots and guides. All were friendly and accomodating. Yes we did catch many fi...
best,最棒的 / 顶级的,E2_Appraisal (Stimulus/Service Attribute),Stage 1 (500 Discovery),368,317,review_7610caa1138d8b33b74c4e88 :: Each seat had excellent views of the Grand Canyon. Taking the whole scene in by air is maybe the best way to understand the size and majesty of the canyon. The crew was professiona...
beautiful,美丽绝伦的,E2_Appraisal (Stimulus/Service Attribute),Stage 1 (500 Discovery),350,324,"review_856d2aa6a78e7be940af3eac :: This was a once in a lifetime, amazing, beautiful experience. 

- the flight out of Scottsdale through the river valleys is beautiful.
- you get to see both north and south side of..."
grand,宏大的 / 壮丽的,E1_E2_Candidate,Stage 1 (500 Discovery),319,228,"review_bc094451a516daefa055857a :: This was one of the most unique experiences I have ever had! The flight from Phoenix to the Canyon was a bit nerve wracking, due to the small aircraft. Since there were only two of..."
worth,物有所值的 / 绝对值得的,E2_Appraisal (Stimulus/Service Attribute),Stage 1 (500 Discovery),317,301,review_0feea62cebd439414c25d6fc :: My wife and I decided to spend Valentine’s Day in Sedona and booked an air tour of the Grand Canyon. I booked it over the phone with Lindsey whom seems to be the manager. She lead ...
good,良好的 / 棒的（服务与体验）,E2_Appraisal (Stimulus/Service Attribute),Stage 1 (500 Discovery),308,253,"review_6156ccd88f392b21de3b4908 :: I have been to the same resort 8 years in a row and we have flew into Vancouver then flew in from there to the resort by float plane and we have had issues in the past with planes,..."
knowledgeable,博学的 / 专业的,E1_E2_Candidate,Stage 1 (500 Discovery),308,301,"review_856d2aa6a78e7be940af3eac :: This was a once in a lifetime, amazing, beautiful experience. 

- the flight out of Scottsdale through the river valleys is beautiful.
- you get to see both north and south side of..."
wonderful,精彩美妙的,E2_Appraisal (Stimulus/Service Attribute),Stage 1 (500 Discovery),306,274,"review_856d2aa6a78e7be940af3eac :: This was a once in a lifetime, amazing, beautiful experience. 

- the flight out of Scottsdale through the river valleys is beautiful.
- you get to see both north and south side of..."
excellent,卓越极佳的 / 顶级的,E2_Appraisal (Stimulus/Service Attribute),Stage 1 (500 Discovery),270,249,review_7610caa1138d8b33b74c4e88 :: Each seat had excellent views of the Grand Canyon. Taking the whole scene in by air is maybe the best way to understand the size and majesty of the canyon. The crew was professiona...
awesome,太棒了 / 极为赞叹的,E2_Appraisal (Stimulus/Service Attribute),Stage 1 (500 Discovery),268,236,"review_bc094451a516daefa055857a :: This was one of the most unique experiences I have ever had! The flight from Phoenix to the Canyon was a bit nerve wracking, due to the small aircraft. Since there were only two of..."
informative,引人入胜干货满满的,E2_Appraisal (Stimulus/Service Attribute),Stage 1 (500 Discovery),231,224,"review_1a40b7366c1df323a2059968 :: Captain Jack was wonderful as he flew us over the Grand Canyon. The tour had an audio component, which was just informative enough but not overdone. The views were stunning and tru..."
nice,美好的 / 良好的,E1_E2_Candidate,Stage 1 (500 Discovery),230,200,"review_bc094451a516daefa055857a :: This was one of the most unique experiences I have ever had! The flight from Phoenix to the Canyon was a bit nerve wracking, due to the small aircraft. Since there were only two of..."
fantastic,奇妙太棒的,E2_Appraisal (Stimulus/Service Attribute),Stage 1 (500 Discovery),214,199,"review_176ad8eab21eb292f98accba :: We spent a weekend on San Juan Islands, and the seaplane ride there was definitely a highlight of the trip! The plane is fantastic, and our pilot Shane was even better. Along with ..."
fun,乐趣十足的 / 充满乐趣的,E1_E2_Polysemous (State & Appraisal),Stage 1 (500 Discovery),195,178,"review_aad1475f0d24f59cc1b5bc8b :: I booked a flight with Friday Harbor Seaplanes from San Juan Island to Seattle, I was excited for the adventure & thought a flight on a seaplane would be a fun way to end my trip t..."
better,更好的 / 更满意的（超过预期）,E1_E2_Candidate,Stage 1 (500 Discovery),193,171,"review_58ba87f9326f017e0b3399ae :: I hate to write a review in the midst of COVID for a small business, but unfortunately due to our experience I’m writing this in hopes that nobody else has the same experience. We ..."
loved,喜爱 / 热爱（体验）,E1_State (Direct Internal Affective State),Stage 1 (500 Discovery),173,163,"review_bc094451a516daefa055857a :: This was one of the most unique experiences I have ever had! The flight from Phoenix to the Canyon was a bit nerve wracking, due to the small aircraft. Since there were only two of..."
safe,安全放心的 / 感到安心平稳,E1_State (Direct Internal Affective State),Stage 1 (500 Discovery),169,156,"review_bc094451a516daefa055857a :: This was one of the most unique experiences I have ever had! The flight from Phoenix to the Canyon was a bit nerve wracking, due to the small aircraft. Since there were only two of..."
spectacular,壮观震撼的（高空景观）,E2_Appraisal (Stimulus/Service Attribute),Stage 1 (500 Discovery),165,159,"review_26666fb5871f5009a89cc1e1 :: This is definitely a “must do” excursion while in Maui. From start to end, Laura (our pilot) made our sunset flight an unforgettable experience. The views and the spectacular color..."
comfortable,舒适的 / 安心的,E1_E2_Polysemous (State & Appraisal),Stage 1 (500 Discovery),164,153,"review_fa5c178f0540c8c621211eb6 :: My daughter and I had a great experience with our flight with Chad. He made sure that we are very comfortable during the flight, views that we saw from the plane were amazing and e..."
incredible,难以置信震撼的,E2_Appraisal (Stimulus/Service Attribute),Stage 1 (500 Discovery),154,143,review_1b882aa7c72201a6725b9fe7 :: We booked the 30 minute ride but decided to go on the longer one once there. Worth. Every. Penny!  You fly so close to the Moose Teeth mountain that you feel like you can touch it....
enjoyed,享受 / 乐在其中,E1_State (Direct Internal Affective State),Stage 1 (500 Discovery),148,142,"review_e19f4508602ecbfcd0a59754 :: I really enjoyed the tour!! it was my mom's birthday gift
the tour was beyond my imagination and very affordable prices.
very nice gift and experience 
The best in the market
Eagle..."
perfect,完美的 / 无瑕的,E2_Appraisal (Stimulus/Service Attribute),Stage 1 (500 Discovery),141,124,"review_5e434da02b38cf19550a807e :: There are a few things that set this trip apart for us;
1.) Our pilot, Chris, gave us one of the smoothest flights I have ever been on (sorry Delta).  I wasn't necessarily expectin..."
helpful,热心有帮助的 / 周到解说,E2_Appraisal (Stimulus/Service Attribute),Stage 1 (500 Discovery),134,128,review_fea58727faaa3a0887fe14ea :: We had a very short time to explore the Grand Canyon. We decided to take the early flight and were completely satisfied in every respect. Of course the views were absolutely magnif...
breathtaking,令人屏息震撼的,E2_Appraisal (Stimulus/Service Attribute),Stage 1 (500 Discovery),117,116,review_2a211e66566d9506094042c7 :: My family of 5 ranging in ages of 18 to 73 embarked on this amazing flight in March 2022.  I admit I was a bit nervous as flying can bring anxiety sometimes but Billy - our pilot w...
safety,安全保障 / 信任与安心感,E1_State (Direct Internal Affective State),Stage 1 (500 Discovery),112,102,"review_4899b603a9d2f1beb416a798 :: This company does not deliver pleasant experiences.

This company makes guest violently ill and then act aggressively toward the guest in a hostile manner causing the guest to beco..."
