word,canonical_lemma,chinese_translation,emotion_category,frequency_21215,review_count_21215,nrc_tags
great,great,非常棒的 / 极好的,Unclassified,11541,8445,Unmapped
amazing,amazing,极其震撼赞叹的 / 太棒了,Unclassified,6251,5377,Unmapped
best,best,最棒的 / 顶级的,Unclassified,3420,2977,Unmapped
grand,grand,宏大的 / 壮丽的,Unclassified,2534,1850,Unmapped
awesome,awesome,太棒了 / 极为赞叹的,Unclassified,2530,2344,Unmapped
fantastic,fantastic,奇妙太棒的,Unclassified,2026,1875,Unmapped
nice,nice,美好的 / 良好的,Unclassified,1794,1586,Unmapped
incredible,incredible,难以置信震撼的,Unclassified,1612,1508,Unmapped
better,better,更好的 / 更满意的（超过预期）,Unclassified,1585,1431,Unmapped
loved,loved,喜爱 / 热爱（体验）,Unclassified,1473,1365,Unmapped
comfortable,comfortable,舒适的 / 安心的,Unclassified,1446,1372,Unmapped
breathtaking,breathtaking,令人屏息震撼的,Unclassified,1346,1328,Unmapped
stunning,stunning,令人目眩震撼的,Unclassified,552,546,Unmapped
expensive,expensive,昂贵的 / 价格偏高的,Unclassified,529,512,Unmapped
fabulous,fabulous,绝妙的 / 极好的,Unclassified,508,486,Unmapped
enjoyable,enjoyable,令人愉快的 / 趣味盎然的,Unclassified,460,446,Unmapped
unforgettable,unforgettable,令人难忘的 / 铭心的,Unclassified,459,455,Unmapped
scenic,scenic,风景优美的 / 宜人的,Unclassified,400,363,Unmapped
incredibly,incredibly,难以置信地 / 极其,Unclassified,315,301,Unmapped
awe,awe,敬畏 / 震撼,Unclassified,304,303,Unmapped
funny,funny,幽默风趣的,Unclassified,301,299,Unmapped
plenty,plenty,丰富的 / 充足的,Unclassified,298,280,Unmapped
hard,hard,困难的 / 艰辛的,Unclassified,297,285,Unmapped
exceptional,exceptional,卓越的 / 杰出的（顶级评价）,Unclassified,276,271,Unmapped
impressed,impressed,感到深深被折服/留下深刻印象,Admiration / Impression,255,248,Unmapped
unfortunately,unfortunately,不幸的是 / 遗憾的是,Unclassified,240,230,Unmapped
welcome,welcome,受欢迎的 / 感受温暖的,Unclassified,212,208,Unmapped
inspiring,inspiring,令人启发震慑的,Inspiration,210,209,Unmapped
cheaper,cheaper,更实惠的 / 较便宜的,Unclassified,208,204,Unmapped
phenomenal,phenomenal,现象级震撼的,Unclassified,200,198,Unmapped
fine,fine,良好的 / 优秀的,Unclassified,190,174,Unmapped
reasonable,reasonable,合理的 / 公道的,Unclassified,179,179,Unmapped
relaxed,relaxed,放松的 / 从容的,Unclassified,159,158,Unmapped
perfectly,perfectly,完美地 / 无可挑剔地,Unclassified,155,149,Unmapped
pleasure,pleasure,乐趣 / 愉悦,Unclassified,153,149,Unmapped
scared,scared,感到恐惧害怕的,Fear,144,137,Unmapped
smoother,smoother,更平稳的 / 更顺畅的,Unclassified,143,143,Unmapped
safely,safely,安全平稳地,Unclassified,132,129,Unmapped
exactly,exactly,精准地 / 正是,Unclassified,130,126,Unmapped
impressive,impressive,令人印象深刻的,Unclassified,130,129,Unmapped
humor,humor,幽默感,Unclassified,125,124,Unmapped
dream,dream,梦寐以求的,Unclassified,124,118,Unmapped
sorry,sorry,感到抱歉遗憾的,Pity / Regret,123,123,Unmapped
relaxing,relaxing,令人放松惬意的,Relaxation / Calmness,122,119,Unmapped
wonder,wonder,惊奇 / 赞叹,Amazement / Wonder,121,117,Unmapped
amazed,amazed,感到吃惊惊叹的,Amazement,120,119,Unmapped
thrilled,thrilled,极度兴奋的,Unclassified,113,112,Unmapped
honestly,honestly,老实说 / 真诚地,Unclassified,111,109,Unmapped
willing,willing,乐意的 / 愿意的,Unclassified,108,104,Unmapped
smoothest,smoothest,最平稳的,Unclassified,105,105,Unmapped
positive,positive,积极正面的,Unclassified,101,98,Unmapped
surreal,surreal,超现实的 / 梦幻般的,Unclassified,98,98,Unmapped
reassuring,reassuring,令人安心放心的,Relief / Reassurance,97,96,Unmapped
concern,concern,担忧 / 关切（焦虑感）,Unclassified,96,91,Unmapped
luckily,luckily,幸运地 / 幸亏,Unclassified,96,93,Unmapped
poor,poor,贫乏的 / 差劲的,Unclassified,95,91,Unmapped
scary,scary,令人害怕的 / 吓人的,Unclassified,94,94,Unmapped
enthusiastic,enthusiastic,热情的 / 充满激情的,Unclassified,93,90,Unmapped
exhilarating,exhilarating,令人极为兴奋刺激的,Exhilaration / Excitement,90,89,Unmapped
lucked,lucky,幸运地 (动词变体),Good Fortune / Joy,86,86,Unmapped
rushed,rushed,仓促的 / 匆忙的,Unclassified,85,79,Unmapped
capable,capable,有能力的 / 熟练精湛的,Unclassified,84,83,Unmapped
prone,prone,易患（晕机）的,Unclassified,84,84,Unmapped
simple,simple,简单明了的 / 省心的,Unclassified,84,83,Unmapped
wonders,wonder,惊奇 / 奇观,Amazement / Wonder,83,82,Unmapped
safer,safer,更安全的 / 更安心的,Unclassified,77,77,Unmapped
neat,neat,整洁的 / 干练的,Unclassified,76,75,Unmapped
coolest,coolest,最酷爽震撼的,Unclassified,75,75,Unmapped
worthwhile,worthwhile,值得的 / 划算的,Unclassified,75,74,Unmapped
promptly,promptly,及时迅速地,Unclassified,74,73,Unmapped
concerns,concerns,担忧 / 关切,Unclassified,73,71,Unmapped
greatest,greatest,最伟大的 / 极佳的,Unclassified,73,71,Unmapped
ideal,ideal,理想的 / 完美的,Unclassified,72,66,Unmapped
fears,fears,恐惧 / 忧虑,Unclassified,64,61,Unmapped
tremendous,tremendous,震撼巨大的,Unclassified,64,64,Unmapped
conscious,conscious,有意识的 / 讲究的,Unclassified,63,63,Unmapped
dramatic,dramatic,戏剧性的 / 震撼的,Unclassified,61,58,Unmapped
moving,moving,令人动容感人的,Unclassified,61,59,Unmapped
complimentary,complimentary,赞赏的 / 赠送贴心的,Unclassified,59,56,Unmapped
nerves,nerves,紧张感 / 不安神经,Unclassified,59,57,Unmapped
unreal,unreal,如梦似幻的 / 震撼的,Unclassified,59,56,Unmapped
flawless,flawless,无瑕的 / 完美的,Unclassified,58,58,Unmapped
fortunately,fortunately,幸运的是,Unclassified,58,58,Unmapped
glorious,glorious,壮丽辉煌的,Unclassified,56,55,Unmapped
caring,caring,体贴入微关怀的,Warmth / Kindness,53,52,Unmapped
gentle,gentle,平稳柔和的,Unclassified,52,50,Unmapped
strong,strong,强烈的,Unclassified,52,49,Unmapped
trouble,trouble,麻烦 / 困扰,Unclassified,52,51,Unmapped
nicer,nicer,更美好/更亲切的,Unclassified,51,51,Unmapped
happier,happier,更快乐的 / 更满意的,Unclassified,50,49,Unmapped
hoping,hoping,期盼 / 希望,Unclassified,50,49,Unmapped
queasy,queasy,恶心反胃的,Unclassified,49,47,Unmapped
seamless,seamless,流畅无缝无摩擦的,Unclassified,49,48,Unmapped
genuinely,genuinely,真诚地 / 确实,Unclassified,48,46,Unmapped
easier,easier,更容易的 / 更省心的,Unclassified,46,45,Unmapped
sensitive,sensitive,敏感的,Unclassified,46,44,Unmapped
warmly,warmly,温暖地 / 热情地,Unclassified,46,46,Unmapped
loud,loud,吵闹的 / 噪音大的,Unclassified,45,43,Unmapped
relax,relax,放松 / 放轻松,Relaxation,45,45,Unmapped
terrified,terrified,极度惊恐的,Unclassified,45,43,Unmapped
