序号,CATE 词汇,英文单词 (Pure Word),中文释义 (Translation),出现频次 (Freq),平均星级 (Stars),VADER 得分,语义类别
1,worth (值得/划算),worth,值得/划算,2680,4.918,0.908,性价比与消费决策
2,small (小型的/紧凑的),small,小型的/紧凑的,1467,4.863,0.909,客舱/机型特征
3,interesting (有趣的/引人入胜的),interesting,有趣的/引人入胜的,853,4.916,0.94,体验感知与趣味
4,cool (酷炫的/棒的),cool,酷炫的/棒的,608,4.908,0.931,体验感知与情绪
5,extra (额外的/附加体验),extra,额外的/附加体验,534,4.882,0.914,服务与附加价值
6,ease (轻松/平稳自如),ease,轻松/平稳自如,418,4.978,0.941,飞行舒适与安心感
7,personable (平易近人的/亲切的),personable,平易近人的/亲切的,412,4.968,0.923,飞行员性格服务
8,completely (完全地/彻底地),completely,完全地/彻底地,323,4.762,0.869,程度修饰与满意度
9,unbelievable (难以置信的/超乎想象的),unbelievable,难以置信的/超乎想象的,298,4.983,0.895,客观体验触点
10,calm (平静镇定的/从容的),calm,平静镇定的/从容的,251,4.952,0.956,客观体验触点
11,skilled (操控熟练的/专业的),skilled,操控熟练的/专业的,239,4.954,0.908,飞行员操控技能
12,choice (明智的选择/契合的决策),choice,明智的选择/契合的决策,237,4.886,0.918,决策感知与满意度
13,courteous (礼貌客气的/有礼的),courteous,礼貌客气的/有礼的,236,4.949,0.95,地勤与飞行员态度
14,fortunate (幸运的/有幸体验的),fortunate,幸运的/有幸体验的,231,4.957,0.962,体验感悟与幸会
15,interest (兴趣/看点),interest,兴趣/看点,228,4.921,0.945,景点关注与吸引力
16,absolute (绝对的/完美的),absolute,绝对的/完美的,221,4.923,0.858,体验程度评价
17,organized (组织良好的/有序的),organized,组织良好的/有序的,213,4.864,0.891,行程管理与调度
18,sense (心理感知/安全感),sense,心理感知/安全感,202,4.911,0.939,心理感知与氛围
19,superb (极好的/卓越的),superb,极好的/卓越的,189,4.942,0.944,总体体验评价
20,forward (前向视角/期待视角),forward,前向视角/期待视角,178,4.556,0.83,期待感与视野
21,cold (高空微凉/客舱气温),cold,高空微凉/客舱气温,170,4.847,0.942,客舱与高空环境
22,noise (噪音/降噪耳机),noise,噪音/降噪耳机,166,4.873,0.925,客舱设施与舒适度
23,cheap (实惠划算的/价格亲民的),cheap,实惠划算的/价格亲民的,132,4.871,0.87,价格与性价比
24,wrong (偏差/偏差纠错),wrong,偏差/偏差纠错,132,4.568,0.768,服务反馈与保障
25,strongly (强烈推荐),strongly,强烈推荐,129,4.891,0.944,推荐意愿与评价
26,standing (空中悬停/飞行姿态),standing,空中悬停/飞行姿态,126,4.738,0.9,飞行操控与姿态
27,actual (真实体验/实际的),actual,真实体验/实际的,125,4.632,0.855,真实体验核验
28,polite (礼貌周到的),polite,礼貌周到的,124,4.831,0.864,工作人员服务态度
29,working (设备良好运转的),working,设备良好运转的,121,4.57,0.865,设备设施保障
30,major (核心亮点/主要看点),major,核心亮点/主要看点,118,4.856,0.897,核心亮点与景点
31,attention (关照/注重细节),attention,关照/注重细节,115,4.957,0.908,服务细节与体贴
32,question (互动解答/解答疑问),question,互动解答/解答疑问,110,4.909,0.878,飞行员互动解答
33,overcast (多云天色的/阴天的),overcast,多云天色的/阴天的,109,4.761,0.892,气候与天色感知
34,contact (预订沟通/联系客服),contact,预订沟通/联系客服,108,4.602,0.833,预订与客服沟通
35,accessible (便捷易达的),accessible,便捷易达的,104,4.875,0.92,观光便利性
36,inaccessible (陆路不可达的/观光独特性),inaccessible,陆路不可达的/观光独特性,86,4.965,0.911,低空观光独特性
37,effort (用心安排/商家付出),effort,用心安排/商家付出,85,4.694,0.891,商家用心程度
38,spirit (情绪氛围/精神感悟),spirit,情绪氛围/精神感悟,82,4.829,0.859,情绪氛围感知
39,fascinating (令人着迷的/吸睛的),fascinating,令人着迷的/吸睛的,82,4.89,0.952,景观吸引力
40,capture (捕捉照片/定格瞬间),capture,捕捉照片/定格瞬间,80,4.838,0.897,摄影与留念行为
41,grateful (感激的/感恩的),grateful,感激的/感恩的,78,4.923,0.933,情感表达与感谢
42,advantage (低空视角优势),advantage,低空视角优势,78,4.949,0.961,低空视角优势
43,priceless (无价的/珍贵的),priceless,无价的/珍贵的,76,5.0,0.898,体验价值高度认可
44,afford (负担得起的/物有所值),afford,负担得起的/物有所值,76,4.908,0.863,性价比与消费能力
45,balance (姿态平衡/飞行平稳),balance,姿态平衡/飞行平稳,73,4.575,0.878,飞行平稳与安全
46,delayed (顺延/因天气延迟),delayed,顺延/因天气延迟,73,4.438,0.728,天气与行程调整
47,crystal (晶莹剔透的/水质清澈的),crystal,晶莹剔透的/水质清澈的,73,4.973,0.945,水质与视野清晰度
48,epic (史诗级的/震撼的),epic,史诗级的/震撼的,72,4.958,0.9,宏大景观体验
49,agree (高度认同/一致赞同),agree,高度认同/一致赞同,72,4.944,0.941,口碑感知与一致性
50,grandeur (雄伟壮丽的地貌),grandeur,雄伟壮丽的地貌,70,4.9,0.927,自然地貌震撼感
51,extraordinary (非凡卓越的),extraordinary,非凡卓越的,60,4.967,0.9,体验品质高度评价
52,convenient (方便快捷的),convenient,方便快捷的,60,4.717,0.877,预订与出行便利
53,gracious (亲切体贴的),gracious,亲切体贴的,60,4.967,0.943,飞行员/接待态度
54,hospitality (热情好客的),hospitality,热情好客的,60,4.983,0.959,服务态度与文化
55,culture (文化与历史解说),culture,文化与历史解说,57,5.0,0.937,人文与历史解说
56,fair (公道合理的/定价公平的),fair,公道合理的/定价公平的,55,4.545,0.896,价格与交易公平
57,uncomfortable (身体不适/颠簸反感),uncomfortable,身体不适/颠簸反感,54,4.019,0.552,客舱舒适度反馈
58,lack (缺乏/美中不足的),lack,缺乏/美中不足的,44,3.955,0.581,缺陷与不足反馈
59,careful (谨慎平稳驾驶的),careful,谨慎平稳驾驶的,44,4.75,0.871,飞行员安全操控
