word,chinese_translation,frequency,review_count,example_context
flight,非情感/中性客观词,415,219,"review_291988db94de25fedef72be3 :: So we did and booked a flight with our very experienced pilot Kevin.
review_291988db94de25fedef72be3 :: We were so excited to be doing this flight, but Kevin made it even more exciting for us.
review_291988db94de25fedef72be3 :: He taught us everything we needed to know pre-flight and then even after take off he was able to communicate with us through the headsets we had.
review_291988db94de25fedef72be3 :: To add some excitement to our flight, and because we asked him to, he did a flight maneuver with us!
review_291988db94de25fedef72be3 :: I cannot say enough about how fun and interesting this flight was to see so much of the island and to get such a detailed commentary from Kevin!"
pilot,非情感/中性客观词,387,296,"review_b76e6c2bc278477c91d37c62 :: I first want to state that our pilot Spencer was wonderful in every way.
review_291988db94de25fedef72be3 :: So we did and booked a flight with our very experienced pilot Kevin.
review_7b76705a2666fc9f007a68b5 :: The flight up to and around Denali was awe-inspiring, we saw all of the glaciers and Chris, our pilot, pointed out the trail that the climbers use and much more.
review_391296b7cc0f06b72663511f :: Each seat has a window and the pilot provides commentary and answers questions that are hard t pose as the mikes on the headsets don't work.
review_8b4c172e7b644d8c4b931cc0 :: After a safety briefing we met our pilot and boarded our sea plane."
tour,非情感/中性客观词,352,196,"review_b76e6c2bc278477c91d37c62 :: My brother and I booked this tour as a Father's Day gift for our dad - planning that all 3 of us would enjoy the experience together.
review_b76e6c2bc278477c91d37c62 :: The second surprise was that this was a plane tour instead of a helicopter tour.
review_291988db94de25fedef72be3 :: The tour continued over Princeville/Hanalei and then turned into the center of the island where we flew around the volcano, saw numerous waterfalls, including Wailua Falls!
review_b79c6cfcd7b2a3c981b7475b :: We took our tour on a DeHavilland Beaver, and from the very start, our guide was great- he even carried me out to the plane so I wouldn't get my shoes wet!
review_7b76705a2666fc9f007a68b5 :: We booked with Talkeetna Air Taxi based on the recommendation of our tour agent Colette of Rainbow Mountain Adventures and we were amazed."
trip,非情感/中性客观词,243,157,"review_85b1ad0d6eac5eebd570b607 :: Outstanding trip - weather was great.
review_85b1ad0d6eac5eebd570b607 :: Excellent trip.
review_b76e6c2bc278477c91d37c62 :: We were specifically seeking a helicopter ride, and booked this trip only because it was advertised as such.
review_b76e6c2bc278477c91d37c62 :: Spencer was great, and he figured out a way to allow us to book a second trip so we could still all participate, though this doubled our cost.
review_b76e6c2bc278477c91d37c62 :: Spencer did everything in his power to make this a fun outing for us, but he couldn't turn his plane into a helicopter and he had to charge us for the second trip."
plane,非情感/中性客观词,241,140,"review_b76e6c2bc278477c91d37c62 :: The second surprise was that this was a plane tour instead of a helicopter tour.
review_b76e6c2bc278477c91d37c62 :: Spencer did everything in his power to make this a fun outing for us, but he couldn't turn his plane into a helicopter and he had to charge us for the second trip.
review_371d62952294dcd213cf4885 :: Experience is not worth it AT ALL The plane is very old and not clean.
review_291988db94de25fedef72be3 :: When our commercial plane arrived in Lihue, we saw this yellow bi-plane parked near where we taxied in to our gate.
review_b79c6cfcd7b2a3c981b7475b :: We took our tour on a DeHavilland Beaver, and from the very start, our guide was great- he even carried me out to the plane so I wouldn't get my shoes wet!"
experience,,236,183,"review_b76e6c2bc278477c91d37c62 :: He was very invested in our experience from start to finish, and my rating would be ""excellent"" if it only pertained to him.
review_b76e6c2bc278477c91d37c62 :: The writer of this booking description did not prioritize the customer experience by providing accurate information.
review_b76e6c2bc278477c91d37c62 :: My brother and I booked this tour as a Father's Day gift for our dad - planning that all 3 of us would enjoy the experience together.
review_371d62952294dcd213cf4885 :: Experience is not worth it AT ALL The plane is very old and not clean.
review_b79c6cfcd7b2a3c981b7475b :: There was enough info to be interesting without being overbearing, so we could still enjoy the experience."
see,非情感/中性客观词,194,143,"review_291988db94de25fedef72be3 :: I cannot say enough about how fun and interesting this flight was to see so much of the island and to get such a detailed commentary from Kevin!
review_353636e7a5b2962a9d433033 :: The front seat is most definitely the best view but they navigate the plane in a way where everyone gets a chance to see everything.
review_7e2201b48b681475df75ef1a :: This is really the best way to see both Denali the mountain as well as the park.
review_49afe959e23ac2c2b1cde5bd :: While the glaciers do not disappoint the reason most people want to take the tours is to see Denali.
review_49afe959e23ac2c2b1cde5bd :: Since the weather OFTEN prevents you from seeing the mountain but allows you to fly below the clouds to see the glaciers this is the most common tour."
time,非情感/中性客观词,177,131,"review_b79c6cfcd7b2a3c981b7475b :: I've been wanting to fly on a seaplane for ages, and when my parents came to visit it seemed like a perfect time to check it off the list.
review_7b76705a2666fc9f007a68b5 :: This experience was not only the highlight of our trip, it was one of my greatest experiences of all time!
review_5a026e7a079885b0a8041d9e :: And we got very good views, total ride time was 2 hrs.
review_45b67bfe46ceac2e8567f12e :: The second time the pilot was playing Yani and it did not add to the experience
review_52acbf242c938fb33187635a :: This was my second time flying with K2 Aviantion."
get,非情感/中性客观词,154,105,"review_291988db94de25fedef72be3 :: I cannot say enough about how fun and interesting this flight was to see so much of the island and to get such a detailed commentary from Kevin!
review_b79c6cfcd7b2a3c981b7475b :: We took our tour on a DeHavilland Beaver, and from the very start, our guide was great- he even carried me out to the plane so I wouldn't get my shoes wet!
review_7b76705a2666fc9f007a68b5 :: If you ever get a chance take this once in a lifetime flight, it is a must do!
review_353636e7a5b2962a9d433033 :: I get motion sickness pretty easy but this was not an issue for me.
review_3e49c04ea9e77e714a81cdfb :: I’m as Oregonian as you can get, my blood is green, stumptown coffee infused and mixed with rain."
views,非情感/中性客观词,150,129,"review_85b1ad0d6eac5eebd570b607 :: Pilot did an excellent job of providing views from every angle for every passenger - fantastic landing on the glacier.
review_1b882aa7c72201a6725b9fe7 :: Incredible views of Denali and other peaks.
review_5a026e7a079885b0a8041d9e :: And we got very good views, total ride time was 2 hrs.
review_49afe959e23ac2c2b1cde5bd :: Are the views amazing?
review_7610caa1138d8b33b74c4e88 :: Each seat had excellent views of the Grand Canyon."
