review_id,rating,num_sentences,first_sent_score,last_sent_score,neg_trigger_words,pos_resolution_words,primary_driver_object,has_pilot,has_scenery,has_flight,has_value,first_sentence,last_sentence
11,5,5,-0.431,0.5859,initial_fear/anxiety,"great, amazing",2. Aerial Scenery Visual Peak (高空视觉景观震撼),False,True,True,False,This is the third time I have taken this trip and it never ceases to amaze.,The views of Sedona are amazing also.
37,1,16,-0.1901,0.886,"hate, unfortunately, awful","great, better, honest",1. Dual Scenery & Pilot Co-Reassurance (高空美景+飞行员共同拯救),True,True,True,True,"I hate to write a review in the midst of COVID for a small business, but unfortu",I am sure there are other much better companies that would provide honest and sa
55,5,6,-0.2023,0.3612,"nervous, worry","comfortable, amazing, wonderful",1. Dual Scenery & Pilot Co-Reassurance (高空美景+飞行员共同拯救),True,True,True,False,We took the flight over the Grand Canyon to test out a developing air anti colli,Would recommend it to anyone
84,3,5,-0.1522,0.2263,uncomfortable,"stable, nice",4. Flight Ride & Aircraft Smoothness (飞行平稳与安全保障),False,False,True,False,When we got there it was sort of confusing on where to go but we were able to fi,The tour overall was nice but i think there should be some upgrades on some of t
147,1,2,-0.2023,0.4404,initial_fear/anxiety,better,6. Other General Tourism Appraisals (其他综合观光体验),False,False,False,False,"I don't recommande this company, they charged me too times when i wanted to sche",better choose another company.
226,2,6,-0.2732,0.6597,initial_fear/anxiety,"better, amazing",4. Flight Ride & Aircraft Smoothness (飞行平稳与安全保障),False,False,True,True,They sold me on flying low and being able to see lots of wildlife close up .,Better to go look at the Glaciers and the mountains which are 600 Feet away - lo
232,2,11,-0.1263,0.3711,disappointed,"friendly, wonderful",3. Pilot Professional Reassurance (飞行员专业解说/心理抚慰),True,False,True,True,"While the flight was safe and we did see what was expected, we were really disap","Oh, and we certainly didn't leave a tip."
233,5,12,-0.34,0.4927,unfortunately,"pleasant, nice",3. Pilot Professional Reassurance (飞行员专业解说/心理抚慰),True,False,True,False,"Unfortunately, this was the one cloudy and overcast day on our trip to Denali.",He was very professional and we felt completely safe.
238,5,10,-0.4767,0.7964,"terrible, fear, frightened","beautiful, glad, awesome, great, safely",1. Dual Scenery & Pilot Co-Reassurance (高空美景+飞行员共同拯救),True,True,True,False,I am a terrible flier.,I think I can cross this off my bucket list and am glad I had this experience wi
247,5,6,-0.2263,0.659,initial_fear/anxiety,"awesome, friendly, wonderful",3. Pilot Professional Reassurance (飞行员专业解说/心理抚慰),True,False,False,False,We stopped on our way out of Talkeetna AK.,It was one of the most awesome experiences we have had.
256,5,8,-0.3491,0.5106,"hard, worry",final_awe/joy,3. Pilot Professional Reassurance (飞行员专业解说/心理抚慰),True,False,True,False,We booked our flight with Alaska Bush Float Plane Service months in advance but ,We all enjoyed taking off from and landing on the water.
294,1,3,-0.4724,0.3156,initial_fear/anxiety,final_awe/joy,5. Experience Worth & Value Recovery (超值体验补救),False,False,False,True,"Weather cancellation, no refund !!!","I've lost hours trying to find someone who can help

Maybe don't avoid the tour "
321,5,6,-0.0516,0.5859,initial_fear/anxiety,amazing,1. Dual Scenery & Pilot Co-Reassurance (高空美景+飞行员共同拯救),True,True,True,False,This flight will leave you speechless.,Amazing.
453,5,7,-0.4015,0.6249,initial_fear/anxiety,great,4. Flight Ride & Aircraft Smoothness (飞行平稳与安全保障),False,False,True,False,We found out that getting to the San Juan Islands without a car is not easy!,Great service if you can afford a few extra dollars.
473,5,3,-0.0857,0.5983,initial_fear/anxiety,fantastic,6. Other General Tourism Appraisals (其他综合观光体验),False,False,False,False,We were visiting the area and wanted to stay at Friday Harbor for a few days but,Fantastic experience - now I'm looking for seaplane trips to take where I live!
493,5,9,-0.2732,0.4404,initial_fear/anxiety,"great, nice, good",3. Pilot Professional Reassurance (飞行员专业解说/心理抚慰),True,False,True,False,I have been to the same resort 8 years in a row and we have flew into Vancouver ,Thanks Shane and your staff.
665,5,6,-0.2942,0.6249,initial_fear/anxiety,"awesome, amazing",2. Aerial Scenery Visual Peak (高空视觉景观震撼),False,True,True,False,Don’t forget to take photos!,The entire Redtail team is awesome.
