word,chinese_translation,affect_type,surface_forms,coarse_pos,frequency,review_count,example_context
great,极好的 / 太棒了,E1_E2_Candidate,great,ADJ,235,172,"review_85b1ad0d6eac5eebd570b607 :: Outstanding trip - weather was great.
review_b76e6c2bc278477c91d37c62 :: Spencer was great, and he figured out a way to allow us to book a second trip so we could still all participate, though this doubled our cost.
review_b79c6cfcd7b2a3c981b7475b :: We took our tour on a DeHavilland Beaver, and from the very start, our guide was great- he even carried me out to the plane so I wouldn't get my shoes wet!
review_8b4c172e7b644d8c4b931cc0 :: It’s a risk but if you are flexible this is a great option.
review_8b4c172e7b644d8c4b931cc0 :: Our pilot Forest was extremely professional and provided a great commentary."
best,极佳的 / 顶尖的,E1_E2_Candidate,best,ADJ|ADV,77,70,"review_b76e6c2bc278477c91d37c62 :: We made the best of a pretty disappointing and unexpectedly expensive situation, but we will not be trusting TripAdvisor descriptions in the future.
review_353636e7a5b2962a9d433033 :: The front seat is most definitely the best view but they navigate the plane in a way where everyone gets a chance to see everything.
review_7e2201b48b681475df75ef1a :: This is really the best way to see both Denali the mountain as well as the park.
review_7610caa1138d8b33b74c4e88 :: Taking the whole scene in by air is maybe the best way to understand the size and majesty of the canyon.
review_f5f9cfcb1ff8c9e809596258 :: We took the flight tour with the mountain landing and it was one of the best vacation experiences we have ever had."
friendly,友好的 / 亲切的,E1_E2_Candidate,friendly,ADJ|ADV,73,69,"review_606c51f8ee10965aa9c59bca :: the pilot was fun and friendly and was a decision we are glad we made.
review_6c89ecdf05add32f2e5cb9a7 :: My pilot and guide Chris was knowledgeable, accommodating, skilled, and very friendly - his steady piloting and narration throughout the trip added to an already amazing trip.
review_221283419e26d28fca58af8a :: Friendly service and well worth it.
review_082e1f27aa3bb895882c5db8 :: The receptionist was very friendly and helpful.
review_082e1f27aa3bb895882c5db8 :: The girl working in the office was very friendly and also the pilots daughter."
knowledgeable,博学的 / 专业的,E1_E2_Candidate,knowledgeable,ADJ|NOUN,72,69,"review_51d3d1bdd73dc48dd25270e7 :: Not only was the pilot exceptionally knowledgeable of San Fran but the entire experience represented excellent value for money where we were able to see the city from above over a 30 minute period (which is more than enough time).
review_6c89ecdf05add32f2e5cb9a7 :: My pilot and guide Chris was knowledgeable, accommodating, skilled, and very friendly - his steady piloting and narration throughout the trip added to an already amazing trip.
review_082e1f27aa3bb895882c5db8 :: The pilot was nice, friendly, funny and best of all knowledgeable.
review_ced58d8c691f443c16cbfe37 :: The pilot was very knowledgeable about glaciers.
review_10e68422b6a984d268d5ab67 :: Our pilot was very competent and very knowledgeable - turning the aircraft to allow views of everything regardless of the side of the plane where you're seating."
nice,美好的 / 良好的,E1_E2_Candidate,nice,ADJ|ADV,69,60,"review_353636e7a5b2962a9d433033 :: The flight was amazing, pilot Phillip was so nice and informative.
review_6156ccd88f392b21de3b4908 :: It was the best experience of all my trips, as Shane's staff greeted my party of 10 at the airport with a very nice van for the short ride to the Sea Port.
review_6156ccd88f392b21de3b4908 :: The check in was very easy and the waiting room was decorated very nice with all kinds of memorabilia.
review_6156ccd88f392b21de3b4908 :: The pilot was very good at his job and extremely nice.
review_606c51f8ee10965aa9c59bca :: We did this as a spur of the moment thing, and as it was a nice day we are glad that we did."
wonderful,精彩的 / 极好的,E2_Appraisal (Stimulus/Service Attribute),wonderful,ADJ|NOUN,65,57,"review_b76e6c2bc278477c91d37c62 :: I first want to state that our pilot Spencer was wonderful in every way.
review_291988db94de25fedef72be3 :: He gave a wonderful description of everything we flew over.
review_7b76705a2666fc9f007a68b5 :: The wonderful staffed talked us in to taking the flight and WOW, what an experience!
review_7e2201b48b681475df75ef1a :: The company was fantastic to deal with and the actual flight was wonderful!
review_c6388dc2ce0d1b794c18df93 :: Great ground crew, a wonderful pilot and guide, and a memorable flight!"
fantastic,太棒了 / 绝妙的,E1_E2_Candidate,fantastic,ADJ,54,50,"review_85b1ad0d6eac5eebd570b607 :: Pilot did an excellent job of providing views from every angle for every passenger - fantastic landing on the glacier.
review_7e2201b48b681475df75ef1a :: The company was fantastic to deal with and the actual flight was wonderful!
review_8f5e0f00afe0371683965f83 :: I've never taken a small plane tour before so I didn't know what to expect, but it was a fantastic way to see the island and it wasn't scary at all!
review_4ed9789654d1231bc278b4e3 :: Our pilot was fantastic -- superb flyer and provided knowledgeable commentary.
review_4af2d9822d8f9626565e416d :: It was our daughter’s 16th birthday trip and what a fantastic way to see Denali."
better,更好的 / 更满意的（超过预期）,E1_E2_Candidate,better,ADJ|ADV,51,44,"review_082e1f27aa3bb895882c5db8 :: What better way to see an island for the first time than seeing the entire island.
review_bd821a97ad719aeeebde185a :: Bruce informed us there was some haze and checked the weather to see if the next few days would offer better viewing.
review_4af2d9822d8f9626565e416d :: Everything about the flight was even better than we had hoped.
review_4af2d9822d8f9626565e416d :: We couldn’t have asked for a better adventure for our family.
review_a49c3b4b417661efc807e243 :: Seeing the Napali coast by air turned out to be far better than by water, and having gracious, genuine hosts for our tour made it that much better."
informative,引人入胜干货满满的,E2_Appraisal (Stimulus/Service Attribute),informative,ADJ,46,46,"review_353636e7a5b2962a9d433033 :: The flight was amazing, pilot Phillip was so nice and informative.
review_7b8fca9fb1b20483fadf5af6 :: Capt Josh was very informative and ensured that we all engaged in an interactive conversation.
review_f0ee2cd886f1308d732e265f :: Our pilot was great and very informative.
review_1a40b7366c1df323a2059968 :: The tour had an audio component, which was just informative enough but not overdone.
review_f1afb11c14a20df3c0e654e1 :: Tony's narration throughout the flight was very complete and informative."
spectacular,壮观的 / 震撼的,E2_Appraisal (Stimulus/Service Attribute),spectacular,ADJ|ADV,38,35,"review_9876556ef47117a9c27fced8 :: On a clear day it is a pretty spectacular 30 minutes.
review_606c51f8ee10965aa9c59bca :: The views and scenery were spectacular and the view to Mt McKinley was amazing.
review_f1afb11c14a20df3c0e654e1 :: The Glacier landing was spectacular!
review_123bf9f58334923a62ba4371 :: Wings Over Kauai offers a comfortable air tour of the entire island with spectacular views of the most popular and breathtaking sites the island has to offer, including: waterfalls, coastlines, Waimea Canyon, the inner island, sugar plantations, resort areas, and open sea.
review_26666fb5871f5009a89cc1e1 :: The views and the spectacular colors of the sunset truly need to be experienced from the air."
